code,pred_date,pred_return_FreTS,pred_return_PatchTST,pred_return_WPMixer,pred_return_iTransformer,rank_FreTS,rank_PatchTST,rank_WPMixer,rank_iTransformer,rank_sum,rank_sum_rank
002188.SZ,2025-12-30,0.0041407928802073,0.007631711661815643,0.006632438860833645,-0.007877841591835022,533.0,71.0,148.0,1186.0,1938.0,106.0
000610.SZ,2025-12-30,0.005713857244700193,0.0037798527628183365,0.0028508894611150026,-0.005095742642879486,334.0,266.0,581.0,761.0,1942.0,107.0
603385.SH,2025-12-30,0.0038039551582187414,0.0013489535776898265,0.0035031912848353386,-0.00233723153360188,595.0,653.0,452.0,251.0,1951.0,108.0
603408.SH,2025-12-30,0.0036700409837067127,0.0022539040073752403,0.004382497631013393,-0.004116571042686701,617.0,468.0,330.0,555.0,1970.0,109.0
601218.SH,2025-12-30,0.005051397252827883,0.008733523078262806,0.0078415647149086,-0.009984103962779045,406.0,50.0,100.0,1418.0,1974.0,110.0
002663.SZ,2025-12-30,0.0026616002433001995,0.0036026607267558575,0.004688352346420288,-0.004101484082639217,843.0,285.0,297.0,552.0,1977.0,111.0
002204.SZ,2025-12-30,0.010195356793701649,0.001892534433864057,0.009651310741901398,-0.008934618905186653,77.0,535.0,64.0,1303.0,1979.0,112.0
002404.SZ,2025-12-30,0.005748467519879341,0.002998820971697569,0.0025902155321091413,-0.004507562145590782,332.0,368.0,641.0,647.0,1988.0,113.0
000632.SZ,2025-12-30,0.010522820986807346,0.01580166071653366,0.02173483930528164,-0.014756417833268642,74.0,6.0,5.0,1904.0,1989.0,114.0
002582.SZ,2025-12-30,0.0031750774942338467,0.0034289690665900707,0.0043549854308366776,-0.004479837138205767,718.0,308.0,337.0,641.0,2004.0,115.0
000009.SZ,2025-12-30,0.004347105976194143,0.0004730068612843752,0.003435564925894141,-0.0015670456923544407,490.0,898.0,462.0,160.0,2010.0,116.0
002445.SZ,2025-12-30,0.004977922886610031,0.003616980742663145,0.00365507323294878,-0.0058516450226306915,415.0,284.0,428.0,885.0,2012.0,117.0
002946.SZ,2025-12-30,0.010609197430312634,0.004840997979044914,0.0050535318441689014,-0.01079453807324171,72.0,178.0,260.0,1505.0,2015.0,118.0
603999.SH,2025-12-30,0.0002879715175367892,0.004229133483022451,0.0046709817834198475,0.00043709727469831705,1456.0,225.0,298.0,40.0,2019.0,119.0
600843.SH,2025-12-30,0.003269471460953355,0.004853484686464071,0.003151531796902418,-0.004458521958440542,696.0,177.0,519.0,635.0,2027.0,120.0
000536.SZ,2025-12-30,0.01788819022476673,0.007102597039192915,0.008923914283514023,-0.014106575399637222,17.0,91.0,76.0,1850.0,2034.0,121.0
002758.SZ,2025-12-30,0.006232799496501684,0.00014569557970389724,0.003248989349231124,-0.0022948370315134525,277.0,1011.0,499.0,247.0,2034.0,121.0
601996.SH,2025-12-30,0.00405854219570756,0.002450346015393734,0.004192902706563473,-0.004830861929804087,544.0,438.0,355.0,712.0,2049.0,123.0
002544.SZ,2025-12-30,0.015655653551220894,0.009315858595073223,0.01435561291873455,-0.015468188561499119,25.0,41.0,20.0,1964.0,2050.0,124.0
002164.SZ,2025-12-30,0.013864909298717976,0.011167574673891068,0.010552594438195229,-0.015312016941606998,36.0,26.0,52.0,1948.0,2062.0,125.0
002186.SZ,2025-12-30,0.0068775056861341,0.002146190032362938,0.0011625617044046521,-0.002891276031732559,224.0,484.0,1020.0,336.0,2064.0,126.0
600265.SH,2025-12-30,0.026105806231498718,0.011992612853646278,0.0058369627222418785,-0.014074534177780151,4.0,21.0,198.0,1845.0,2068.0,127.0
600857.SH,2025-12-30,0.0034058161545544863,0.0030090364161878824,0.0011236595455557108,0.0033019264228641987,666.0,364.0,1032.0,10.0,2072.0,128.0
603050.SH,2025-12-30,0.006210950203239918,0.0013507321709766984,0.003261265344917774,-0.00452799815684557,280.0,652.0,494.0,652.0,2078.0,129.0
603268.SH,2025-12-30,0.00771524291485548,0.0040041361935436726,0.004988701082766056,-0.009812057949602604,167.0,241.0,265.0,1407.0,2080.0,130.0
600805.SH,2025-12-30,0.0026500956155359745,0.0015383275458589196,0.003827539039775729,-0.002253351267427206,844.0,597.0,403.0,241.0,2085.0,131.0
603076.SH,2025-12-30,0.006735997274518013,0.000565822352655232,0.001537351286970079,-0.0008855589549057186,235.0,868.0,887.0,98.0,2088.0,132.0
000993.SZ,2025-12-30,0.00640831608325243,0.01014129351824522,0.00687649380415678,-0.012045267969369888,259.0,33.0,131.0,1668.0,2091.0,133.0
600408.SH,2025-12-30,-0.0012665942776948214,0.012437422759830952,0.010971708223223686,-0.0021771814208477736,1806.0,18.0,47.0,230.0,2101.0,134.0
000917.SZ,2025-12-30,-0.00070481764851138,0.004536913242191076,0.006058673374354839,0.0011830105213448405,1697.0,203.0,186.0,27.0,2113.0,135.0
600725.SH,2025-12-30,0.0004223723663017154,0.004110787995159626,0.0050857337191700935,-0.0020784349180758,1424.0,232.0,253.0,217.0,2126.0,136.0
603027.SH,2025-12-30,0.0018411088967695832,0.0013210828183218837,0.004381891340017319,-0.0001926370314322412,1075.0,663.0,331.0,58.0,2127.0,137.0
002162.SZ,2025-12-30,0.005704108625650406,0.0006703350809402764,0.0032975380308926105,-0.003661532886326313,335.0,839.0,491.0,477.0,2142.0,138.0
600288.SH,2025-12-30,0.0020855648908764124,0.0033488129265606403,0.0021417206153273582,-0.0009458013228140771,997.0,320.0,726.0,101.0,2144.0,139.0
002305.SZ,2025-12-30,0.006019858177751303,0.0033612072002142668,0.005767154973000288,-0.009211654774844646,299.0,316.0,202.0,1332.0,2149.0,140.0
